obsDate;name;openValue;closeValue;higherValue;lowerValue;volume;marketType;currency
14/10/2021;Microsoft;299,210;302,750;303,270;297,830;27262900,000;1;1
14/10/2021;Tesla;815,490;818,320;820,250;813,350;12247170,000;1;1
13/10/2021;Apple;141,235;140,910;141,400;139,200;78762720,000;1;1
13/10/2021;Facebook;326,970;324,540;327,000;322,660;14761470,000;1;1
13/10/2021;Google;2748,050;2751,640;2760,000;2730,376;983116,000;1;1
13/10/2021;Microsoft;294,910;296,310;297,280;293,490;23424030,000;1;1
13/10/2021;Tesla;810,470;811,080;815,410;805,780;14120080,000;1;1
12/10/2021;Apple;143,230;141,510;143,250;141,040;73035860,000;1;1
12/10/2021;Facebook;323,030;323,770;324,380;317,370;31658680,000;1;1
12/10/2021;Google;2789,600;2728,980;2790,140;2715,200;1816612,000;1;1
12/10/2021;Tesla;800,930;805,720;812,320;796,570;22020040,000;1;1
11/10/2021;Apple;142,270;142,810;144,810;141,810;64452220,000;1;1
11/10/2021;Facebook;327,625;325,450;330,460;325,310;14708220,000;1;1
11/10/2021;Google;2785,840;2778,280;2814,240;2777,180;897681,000;1;1
11/10/2021;Microsoft;334,570;330,800;334,630;329,920;25500940,000;1;1
11/10/2021;Tesla;787,650;791,940;801,240;785,500;14200320,000;1;1
09/10/2021;Microsoft;298,415;295,710;299,920;295,380;19633360,000;1;1
08/10/2021;Apple;144,030;142,900;144,178;142,560;58773160,000;1;1
08/10/2021;Facebook;331,510;330,050;333,400;328,710;15946110,000;1;1
08/10/2021;Google;2791,540;2795,710;2806,621;2784,350;1326292,000;1;1
08/10/2021;Microsoft;288,800;286,440;289,250;285,200;18616580,000;1;1
08/10/2021;Tesla;796,210;785,490;796,380;780,910;16738600,000;1;1
07/10/2021;Apple;143,060;143,290;144,215;142,720;61732660,000;1;1
07/10/2021;Facebook;337,000;329,220;338,840;328,980;28307460,000;1;1
07/10/2021;Google;2777,840;2784,500;2800,840;2773,024;1255507,000;1;1
07/10/2021;Tesla;785,460;793,610;805,000;783,380;19195780,000;1;1
06/10/2021;Apple;139,470;142,000;142,150;138,370;83221120,000;1;1
06/10/2021;Facebook;329,740;333,640;334,380;325,800;26443010,000;1;1
06/10/2021;Google;2695,000;2751,300;2755,000;2691,000;1218214,000;1;1
06/10/2021;Microsoft;254,290;257,240;257,460;253,670;24563620,000;1;1
06/10/2021;Tesla;776,200;782,750;786,660;773,220;14632770,000;1;1
05/10/2021;Apple;139,490;141,110;142,240;139,360;80861060,000;1;1
05/10/2021;Facebook;328,580;332,960;335,180;326,164;35377950,000;1;1
05/10/2021;Google;2680,820;2720,460;2744,490;2680,820;1620163,000;1;1
05/10/2021;Microsoft;250,870;247,180;251,730;247,120;29299890,000;1;1
05/10/2021;Tesla;784,796;780,590;797,310;774,200;18432630,000;1;1
04/10/2021;Apple;141,760;139,140;142,210;138,270;98322010,000;1;1
04/10/2021;Facebook;335,530;326,230;335,940;322,700;42884980,000;1;1
04/10/2021;Google;2719,210;2673,190;2719,210;2621,000;2560097,000;1;1
04/10/2021;Tesla;796,500;781,530;806,970;776,120;30483340,000;1;1
03/10/2021;Microsoft;237,000;232,420;237,000;232,040;29746810,000;1;1
02/10/2021;Microsoft;245,000;242,820;245,920;240,890;22186710,000;1;1
01/10/2021;Apple;141,900;142,650;142,920;139,110;94639580,000;1;1
01/10/2021;Facebook;341,610;343,010;345,020;338,640;14905310,000;1;1
01/10/2021;Google;2688,950;2730,860;2738,210;2681,460;1768009,000;1;1
01/10/2021;Tesla;778,400;775,220;780,780;763,590;17031410,000;1;1
30/09/2021;Apple;143,660;141,500;144,378;141,280;89056660,000;1;1
30/09/2021;Facebook;340,445;339,390;342,800;338,150;16547090,000;1;1
30/09/2021;Google;2685,230;2673,520;2710,850;2671,120;1901440,000;1;1
30/09/2021;Microsoft;285,710;281,920;287,830;281,620;32343640,000;1;1
30/09/2021;Tesla;781,000;775,480;789,131;775,000;17955960,000;1;1
29/09/2021;Apple;142,470;142,830;144,450;142,030;74602040,000;1;1
29/09/2021;Facebook;343,150;339,610;345,230;338,880;14452240,000;1;1
29/09/2021;Google;2739,600;2687,070;2743,020;2677,300;1542435,000;1;1
29/09/2021;Microsoft;285,100;284,000;286,770;283,010;26353700,000;1;1
29/09/2021;Tesla;779,800;781,310;793,500;770,680;20942880,000;1;1
28/09/2021;Apple;143,250;141,910;144,750;141,690;108972300,000;1;1
28/09/2021;Facebook;347,970;340,650;349,600;338,920;21710290,000;1;1
28/09/2021;Google;2773,100;2716,600;2781,930;2707,200;2288610,000;1;1
28/09/2021;Microsoft;289,795;283,520;290,780;282,750;43186240,000;1;1
28/09/2021;Tesla;787,200;777,560;795,640;766,180;25381420,000;1;1
27/09/2021;Apple;145,470;145,370;145,960;143,820;74150730,000;1;1
